die Accessoires (Pl.) | the accessories (pl.)
die Apfelschorle | the apple spritzer
die Aubergine | the aubergine
die Ausrüstung | the equipment
der Babyartikel | the baby article
die Badesachen (Pl.) | the swimsuit (pl.)
der Bart | the beard
die Bekleidung | the clothes
das Camping | camping
der Champignon | the mushroom
die Currywurst | the currywurst
die Dame | the lady
der/die Dieb/in | the thief
das Ding | the thing
der Duft | the scent
das Duschgel | the shower gel
das Ehepaar | the couple
die Elektronik | the electronics
der Fahrradhelm | the bicycle helmet
das Fast Food | the fast food
die Flipflops (Pl.) | the flip-flops (pl.)
die Gemüselasagne | the vegetable lasagne
das Gericht | the dish
die Glatze | the bald head
das Gold | the gold
die Gulaschsuppe | the goulash soup
der Gürtel | the belt
die Haarpflege | the hair care
das Hauptgericht | the main course
die Hautpflege | skin care
die Kamera | the camera
das Kompliment | the compliment
der Kopfhörer | the headphones
die Kosmetiktasche | the cosmetic bag
die Krawatte | the tie
das Küchengerät | the kitchen utensil
die Lieblingsfarbe | the favourite colour
das Make-up | the make-up
die Maus | the mouse
das Mineralwasser | the mineral water
das Modegeschäft | the fashion shop
der Modeschmuck | the costume jewellery
die Naturkosmetik | natural cosmetics
das Navigationsgerät (Navi) | the navigation device (sat nav)
der Ofen | the oven
der Ohrring | the earring
die Parfümerie | the perfumery
die Pfanne | the pan
der/die Polizist/in | the police officer
der Schafskäse | the sheep's cheese
das Schaufenster | the shop window
der Schmuck | the jewellery
das Schnäppchen | the bargain
das Schnitzel | the schnitzel
der Schnurrbart | the moustache
der Schrei | the cry
die Schuhgröße | the shoe size
die Shorts | the shorts
das Silber | the silver
der Snack | the snack
die Spielwaren (Pl.) | the toys (pl.)
das Steak | the steak
der Stiefel | the boot
die Süßigkeiten | the sweets
das Tattoo | the tattoo
der Toaster | the toaster
die Unterwäsche | the underwear
das Vanilleeis | the vanilla ice cream
der/die Vegetarier/in | the vegetarian
der Wanderschuh | the hiking boot
der Wecker | the alarm clock
die Zucchini | the courgette
die Abteilung | the department
der Anruf | the call
der/die Anrufer/in | the caller
der/die Arbeitgeber/in | the employer
der Arbeitsauftrag | the work order
der Arbeitsbeginn | the start of work
der Arbeitsschutz | health and safety at work
der Arbeitsvertrag | the employment contract
der Aufzug | the lift
der Außendienst | the field service
der/die Beauftragte | the authorised representative
die Besprechung | the meeting
der Bildschirm | the screen
der Brand | the fire
die Brandbekämpfung | fire fighting
der Brandfall | the case of fire
der Brandmelder | the fire alarm
der Brandschutz | fire protection
die Buchhaltung | bookkeeping
die Einweisung | familiarisation
die Elektrik | the electrics
der Entwurf | the design
der Feuerlöscher | the fire extinguisher
die Flamme | the flame
die Grafik | the graphics
der/die Grafiker/in | the graphic designer
die Hektik | the hustle and bustle
der Internetzugang | Internet access
der Kabelsalat | the tangle of cables
die Kerze | the candle
das Konto | the account
die Kontoverbindung | the account details
die Kraft | the power
die Kundenbetreuung | the customer service
der Laptop | the laptop
das Marketing | Marketing
die Mehrfachsteckdose | the multiple socket
die Nachbereitung | the follow-up
die Personalabteilung | the personnel department
das Personalbüro | the personnel office
der/die Personalleiter/in | the personnel manager
das Protokoll | the protocol
die Regel | the rule
der Rettungswagen | the ambulance
die Rückfrage | the enquiry
das Sekretariat | the secretariat
die Sicherheit | security
die Steckdose | the socket
die Steuer | the tax
das Teelicht | the tea light
das Verhalten | behaviour
die Vermeidung | avoidance
die Versicherung | insurance
der Vertrieb | distribution
die Vorschrift | the regulation
der Werbeflyer | the advertising flyer
die Werbeagentur | the advertising agency
der/die Werbetexter/in | the copywriter
die Angst | the fear
die Begrüßung | the greeting
der Bericht | the report
das Berufskolleg | the vocational college
der Berufswunsch | the career aspiration
die Biologie | the biology
das Bundesland | the federal state
die Chemie | the chemistry
das Diplom | the diploma
der Elternabend | the parents' evening
der Elternsprechtag | the parent-teacher conference
der/die Englischlehrer/in | the English teacher
die Erdkunde | geography
das Fach | the subject
die Fachhochschule | the university of applied sciences
die Fachhochschulreife | the university entrance qualification
der Fluss | the river
der/die Fotograf/in | the photographer
die Gesamtschule | comprehensive school
die Geschichte | history
das Gipsbein | the plaster leg
das Glück | happiness
das Gymnasium | the grammar school
das Halbjahr | the half year
die Hauptschule | the secondary school
der Integrationsverein | the integration association
der/die Jugendliche | the young person
der Junge | the boy
die Kindertagesstätte (Kita) | the day care centre (Kita)
die Klasse | the class
die Klassenarbeit | the class work
der/die Klassenlehrer/in | the class teacher
der Knöchel | the ankle
der Korb | the basket
die Kunst | the art
das Lieblingsfach | favourite subject
die Lust | the desire
das Mädchen | the girl
die Mathearbeit | the maths test
die Meinung | the opinion
die Nachhilfe | the tutoring
die Note | the grade
die Oberschule | the secondary school
die Pflicht | the duty
die Physik | physics
der/die Pilot/in | the pilot
die Planung | planning
die Realschule | secondary school
die Rede | speech
die Religion | religion
das Schaubild | the diagram
die Schulform | the type of school
der/die Schulleiter/in | the head teacher
die Schulpflicht | compulsory education
das Schulsystem | the school system
der/die Sozialpädagoge/-pädagogin | the social pedagogue
der Sportunterricht | physical education
die Tagesordnung | the agenda
der Teenager | the teenager
das Tier | the animal
der/die Tierpfleger/in | the animal keeper
die Uniform | the uniform
der Unterschied | the difference
die Variante | the variant
die Vergangenheit | the past
der Vokabeltest | the vocabulary test
der Vortrag | the lecture
die Akupunktur | acupuncture
die Alternative | the alternative
die Anweisung | the instruction
die Auflistung | the listing
die Behandlung | the treatment
die Bescheinigung | the certificate
der Boden | the bottom
der Eiswürfel | the ice cube
die Entspannung | relaxation
die Gymnastik | the gymnastics
das Handgelenk | the wrist
das Hausmittel | the home remedy
die Haut | the skin
die Kostenerstattung | the reimbursement of costs
die Kostenübernahme | the assumption of costs
die Massage | the massage
die Meditation | meditation
der Muskel | the muscle
die Nebenwirkung | the side effect
das Pilates | the Pilates
der Rat | the advice
die Rückenmuskulatur | the back muscles
die Schmerztablette | the painkiller
die Schwellung | the swelling
die Sportart | the sport
der Sportverein | the sports club
der Tanzkurs | the dance class
die Teilnahme | the participation
die Teilnahmebescheinigung | the certificate of participation
die Therapie | the therapy
der/die Trainer/in | the trainer
die Tüte | the bag
die Übelkeit | the nausea
die Verabschiedung | the farewell
der/die Versicherungsnehmer/in | the policyholder
der Versicherungstarif | the insurance rate
die Verspannung | the tension
die Wärmflasche | hot water bottle
die Aktivität | activity
die Armut | poverty
die Bankkarte | the bank card
der/die Bankkaufmann/Bankkauffrau | the bank clerk
die Bankleitzahl | the bank sort code
der Bankschalter | the bank counter
das Bargeld | the cash
die Basis | the base
die Bestellnummer | the order number
die Bestellung | the order
der BIC | the BIC
der Blick | the view
die Broschüre | the brochure
die Eingabe | the input
die Filiale | the branch
die Gebühr | the fee
der Geldautomat | the cash machine
die Geldbörse | the wallet
das Geldstück | the coin
die Girocard | the girocard
das Girokonto | the current account
das Hufeisen | the horseshoe
die IBAN | the IBAN
die Innenstadt | the city centre
das Kleeblatt | the cloverleaf
das Kleingeld | the small change
der Kontoauszug | the bank statement
der/die Kontoinhaber/in | the account holder
