der Abfall | the waste
der Abflug | the departure
die Absage | the cancellation
der Alkohol | the alcohol
die Anzeigetafel | the display board
der Aufruf | the call
der Ausgang | the exit
die Ausstattung | the equipment
der Behälter | the container
der/die Bewohner/in | the resident
die Bordkarte | the boarding pass
der/die Camper/in | the camper
der Campingplatz | the campsite
der Check-in-Schalter | the check-in desk
der Container | the container
die Dienstreise | the business trip
das Doppelbett | the double bed
das Doppelzimmer (DZ) | the double room (DR)
die Einsteigezeit | the boarding time
das Einzelzimmer (EZ) | the single room (SR)
der Flug | the flight
der/die Flugbegleiter/in | the flight attendant
der Fluggast | the passenger
die Fluggesellschaft | the airline
das Gate | the gate
das Gepäck | the luggage
die Gepäckausgabe | the baggage claim
das Gepäckband | the baggage belt
die Halbpension (HP) | the half board (HB)
das Handgepäck | the hand luggage
das Hostel | the hostel
das Inlineskaten | the inline skating
die Jugendherberge | the youth hostel
der Katalog | the catalogue
die Lage | the location
das Lagerfeuer | the campfire
der Lärm | the noise
die Lautsprecherdurchsage | the loudspeaker announcement
die Leine | the line
der Leuchtturm | the lighthouse
der Meerblick | the sea view
der Nebel | the fog
das Paradies | the paradise
der/die Passagier/in | the passenger
die Passkontrolle | the passport control
der Pilotenstreik | the pilots' strike
der Pool | the pool
das Reisebüro | the travel agency
der Reiseplan | the travel plan
die Reiseplanung | the travel planning
die Ruhezeit | the rest period
die Sauberkeit | the cleanliness
der Schalter | the counter
die Schlange | the queue
der Sonnenschirm | the parasol
die Sonnenterrasse | the sun terrace
der Sonnenuntergang | the sunset
der Stern | the star
das Streichholz | the match
die Taschenlampe | the flashlight
das Taschenmesser | the pocket knife
die Übernachtung | the overnight stay
die Übernachtung mit Frühstück (ÜF) | the overnight stay with breakfast
die Umgebung | the surroundings
der Wanderer | the hiker
die Wandertour | the hiking tour
der Waschraum | the washroom
der Wohnwagen | the caravan
das Zelt | the tent
der Zoll | the customs
der Zuschlag | the surcharge
der Abstellplatz | the parking space
der Ärger | the anger
die Aufregung | the excitement
die Ausnahme | the exception
das Balkongeländer | the balcony railing
die Beleidigung | the insult
die Beschimpfung | the abuse
der Blumentopf | the flowerpot
die Entscheidung | the decision
die Freude | the joy
die Frist | the deadline
der Gemeinschaftsraum | the common room
die Instandhaltung | the maintenance
der Konflikt | the conflict
die Kündigung | the termination
das Meerschweinchen | the guinea pig
die Mieterhöhung | the rent increase
der Mietspiegel | the rent index
der Mietvertrag | the rental agreement
die Modernisierung | the modernization
der/die Richter/in | the judge
die Rücksicht | the consideration
der Schaden | the damage
das Unrecht | the injustice
das Urteil | the verdict
das Verständnis | the understanding
der Verstoß | the violation
der Widerspruch | the contradiction
der Zeitraum | the period of time
die Zimmerlautstärke | the room noise
das Zusammenleben | the living together
der Zutritt | the access
das Abgas | the exhaust gases
das Abwasser | the waste water
das Altöl | the used oil
das Altpapier | the used paper
das Aluminium | the aluminum
die Begleitperson | the accompanying person
die Belastung | the load
der Beutel | the bag
die Chemikalie | the chemicals
der Deckel | the lid
der Eierkarton | the egg carton
die Eierschale | the eggshell
das Elektroauto | the electric car
das Energiesparhaus | the energy-saving house
die Energiesparlampe | the energy-saving light bulb
das Erdbeben | the earthquake
die Erde | the earth
die Erderwärmung | the Global warming
die Erlaubnis | the permission
der/die Förster/in | the forester
der Gegenstand | the object
der Gegenvorschlag | the counter-proposal
der Haushalt | the household
das Hochwasser | the flood
der/die Hörer/in | the listener
der Kaffeefilter | the coffee filter
das Klima | the climate
der Klimawandel | the climate change
die Konservendose | the tin can
der Kunststoff | the plastic
die Luft | the air
die Matratze | the mattress
das Metall | the metal
der Milchkarton | the milk carton
die Mülltonne | the garbage can
die Mülltrennung | the waste separation
die Naturkatastrophe | the natural disaster
das Naturprodukt | the natural product
die Obstschale | the fruit bowl
der Papiermüll | the paper waste
die Pappe | the cardboard
das Picknick | the picnic
der Planet | the planet
das Plastik | the plastic
der Sack | the sack
die Sammelstelle | the collection point
der Schadstoff | the pollutant
die Solarenergie | the solar energy
der Sondermüll | the hazardous waste
der Sonnenschein | the sunshine
die Sorge | the worry
der Sperrmüll | the bulky waste
der Tierschutz | the animal welfare
das Trinkwasser | the drinking water
der Tsunami | the tsunami
der Turm | the tower
der Umweltschutz | the environmental protection
die Umweltverschmutzung | the environmental pollution
das Unwetter | the storm
die Verschwendung | the waste
der Wertstoff | the recyclable material
der Wind | the wind
die Windel | the diaper
der Wirbelsturm | the hurricane
die Wolke | the cloud
die Zerstörung | the destruction
die Zigarettenkippe | the cigarette butt
die Anprobe | the fitting
die Art | the type
die Artikelnummer | the article number
