die Abwicklung | the processing
die Anerkennung | the recognition
der Anfang | the beginning
die Bearbeitung | the processing
die Beglaubigung | the certification
der/die Bekannte | the acquaintance
die Enttäuschung | the disappointment
der Erhalt | the receipt
die Erklärung | the explanation
die Fähigkeit | the ability
die Fantasie | the imagination
die Formalität | the formality
die Fotokopie | the photocopy
der Frieden | the peace
das Führungszeugnis | the certificate of good conduct
der Gedanke | the thought
die Geduld | the patience
die Gemeinsamkeit | the commonality
der Geruch | the smell
das Gesundheitszeugnis | the health certificate
das Heimweh | the homesickness
das Herkunftsland | the country of origin
die Kopie | the copy
die Mentalität | the mentality
der/die Pflegehelfer/in | the nursing assistant
die Pflegekraft | the nurse
die Reihe | the row
der/die Sachbearbeiter/in | the clerk
der Sprachnachweis | the language certificate
die Übersetzung | the translation
das Übersetzungsbüro | the translation agency
das Ziel | the goal
der/die Abteilungsleiter/in | the department head
der/die Altenpfleger/in | the geriatric nurse
die Anlage | the facility
die Annahme | the acceptance
die Anstellung | the employment
die Arbeitsstelle | the job
die Arbeitsweise | the way of working
die Arbeitszeit | the working hours
die Assistenz | the assistance
die Aufteilung | the division
der Auszug | the extract
der Bachelor | the bachelor’s degree
die Berufsbezeichnung | the job title
die Berufserfahrung | the professional experience
das Berufsleben | the professional life
die Betriebswirtschaft | the business administration
das Bewerbungsschreiben | the application letter
der/die Bilanzbuchhalter/in | the accountant
das Briefpapier | the stationery
das Büromaterial | the office supplies
die Bürozeit | the office hours
das Catering | the catering
das Eintrittsdatum | the start date
der Empfang | the reception
die Erstellung | the creation
das Fax | the fax
die Festanstellung | the permanent position
das Finanzwesen | the Finance
der Firmensitz | the company headquarters
der Föhn | the hairdryer
die Formulierung | the wording
die Fortbildung | the training
die Frisur | the hairstyle
die Gehaltsvorstellung | the salary expectations
der/die Geschäftsführer/in | the managing director
die Geschäftsführung | the management
die Handlung | the action
die Herausforderung | the challenge
die Jobbezeichnung | the job title
der Kamm | the comb
die Kommunikationsstärke | the communication skills
der Konferenzraum | the conference room
die Kontaktdaten (Pl.) | the contact details (pl.)
der/die Manager/in | the manager
der Maschinenbau | the mechanical engineering
der/die Millionär/in | the millionaire
das Niveau | the level
das Original | the original
der PC | the PC
der Posteingang | the inbox
die Probezeit | the probationary period
die Qualifikation | the qualification
der/die Sales Manager/in | the sales manager
das Schreiben | the letter
der/die Selbstständige | the self-employed
das Seniorenheim | the retirement home
die Speise | the meal
die Stellenanzeige | the job advertisement
der Steuerberater | the tax advisor
